"Kod";"Nazwa";"ogółem;ogółem;2018;[osoba]";
0000000;"POLSKA";38411148;
0200000;"DOLNOŚLĄSKIE";2901225;
0201000;"Powiat bolesławiecki";90200;
0201011;"Bolesławiec (1)";38935;
0201022;"Bolesławiec (2)";14626;
0201032;"Gromadka (2)";5367;
0201043;"Nowogrodziec (3)";15258;
0201044;"Nowogrodziec - miasto (4)";4235;
0201045;"Nowogrodziec - obszar wiejski (5)";11023;
0201052;"Osiecznica (2)";7371;
0201062;"Warta Bolesławiecka (2)";8643;
0202000;"Powiat dzierżoniowski";101437;
0202011;"Bielawa (1)";30055;
0202021;"Dzierżoniów (1)";33344;
0202033;"Pieszyce (3)";9492;
0202034;"Pieszyce - miasto (4)";7136;
0202035;"Pieszyce - obszar wiejski (5)";2356;
0202041;"Piława Górna (1)";6457;
0202052;"Dzierżoniów (2)";9138;
0202062;"Łagiewniki (2)";7449;
0202073;"Niemcza (3)";5502;
0202074;"Niemcza - miasto (4)";2974;
0202075;"Niemcza - obszar wiejski (5)";2528;
0203000;"Powiat głogowski";89541;
0203011;"Głogów (1)";67615;
0203022;"Głogów (2)";6734;
0203032;"Jerzmanowa (2)";5042;
0203042;"Kotla (2)";4430;
0203052;"Pęcław (2)";2274;
0203062;"Żukowice (2)";3446;
0204000;"Powiat górowski";35182;
0204013;"Góra (3)";20037;
0204014;"Góra - miasto (4)";11859;
0204015;"Góra - obszar wiejski (5)";8178;
0204022;"Jemielno (2)";3010;
0204032;"Niechlów (2)";4939;
0204043;"Wąsosz (3)";7196;
0204044;"Wąsosz - miasto (4)";2672;
0204045;"Wąsosz - obszar wiejski (5)";4524;
0205000;"Powiat jaworski";50545;
0205011;"Jawor (1)";23056;
0205023;"Bolków (3)";10503;
0205024;"Bolków - miasto (4)";5001;
0205025;"Bolków - obszar wiejski (5)";5502;
0205032;"Męcinka (2)";4991;
0205042;"Mściwojów (2)";4094;
0205052;"Paszowice (2)";3967;
0205062;"Wądroże Wielkie (2)";3934;
0206000;"Powiat jeleniogórski";63855;
0206011;"Karpacz (1)";4633;
0206021;"Kowary (1)";10957;
0206031;"Piechowice (1)";6222;
0206041;"Szklarska Poręba (1)";6611;
0206052;"Janowice Wielkie (2)";4309;
0206062;"Jeżów Sudecki (2)";7397;
0206072;"Mysłakowice (2)";10196;
0206082;"Podgórzyn (2)";8254;
0206092;"Stara Kamienica (2)";5276;
0207000;"Powiat kamiennogórski";43621;
0207011;"Kamienna Góra (1)";19136;
0207022;"Kamienna Góra (2)";9037;
0207033;"Lubawka (3)";10935;
0207034;"Lubawka - miasto (4)";6063;
0207035;"Lubawka - obszar wiejski (5)";4872;
0207042;"Marciszów (2)";4513;
0208000;"Powiat kłodzki";159337;
0208011;"Duszniki-Zdrój (1)";4629;
0208021;"Kłodzko (1)";26954;
0208031;"Kudowa-Zdrój (1)";9954;
0208041;"Nowa Ruda (1)";22246;
0208051;"Polanica-Zdrój (1)";6357;
0208063;"Bystrzyca Kłodzka (3)";18984;
0208064;"Bystrzyca Kłodzka - miasto (4)";10189;
0208065;"Bystrzyca Kłodzka - obszar wiejski (5)";8795;
0208072;"Kłodzko (2)";17208;
0208083;"Lądek-Zdrój (3)";8276;
0208084;"Lądek-Zdrój - miasto (4)";5622;
0208085;"Lądek-Zdrój - obszar wiejski (5)";2654;
0208092;"Lewin Kłodzki (2)";1940;
0208103;"Międzylesie (3)";7212;
0208104;"Międzylesie - miasto (4)";2591;
0208105;"Międzylesie - obszar wiejski (5)";4621;
0208112;"Nowa Ruda (2)";11657;
0208123;"Radków (3)";9059;
0208124;"Radków - miasto (4)";2418;
0208125;"Radków - obszar wiejski (5)";6641;
0208133;"Stronie Śląskie (3)";7559;
0208134;"Stronie Śląskie - miasto (4)";5741;
0208135;"Stronie Śląskie - obszar wiejski (5)";1818;
0208143;"Szczytna (3)";7302;
0208144;"Szczytna - miasto (4)";5163;
0208145;"Szczytna - obszar wiejski (5)";2139;
0209000;"Powiat legnicki";55326;
0209011;"Chojnów (1)";13426;
0209022;"Chojnów (2)";9636;
0209032;"Krotoszyce (2)";3336;
0209042;"Kunice (2)";6893;
0209052;"Legnickie Pole (2)";5241;
0209062;"Miłkowice (2)";6706;
0209073;"Prochowice (3)";7455;
0209074;"Prochowice - miasto (4)";3620;
0209075;"Prochowice - obszar wiejski (5)";3835;
0209082;"Ruja (2)";2633;
0210000;"Powiat lubański";54699;
0210011;"Lubań (1)";21168;
0210021;"Świeradów-Zdrój (1)";4183;
0210033;"Leśna (3)";10093;
0210034;"Leśna - miasto (4)";4484;
0210035;"Leśna - obszar wiejski (5)";5609;
0210042;"Lubań (2)";6593;
0210053;"Olszyna (3)";6523;
0210054;"Olszyna - miasto (4)";4359;
0210055;"Olszyna - obszar wiejski (5)";2164;
0210062;"Platerówka (2)";1631;
0210072;"Siekierczyn (2)";4508;
0211000;"Powiat lubiński";106254;
0211011;"Lubin (1)";72581;
0211022;"Lubin (2)";15920;
0211032;"Rudna (2)";7785;
0211043;"Ścinawa (3)";9968;
0211044;"Ścinawa - miasto (4)";5589;
0211045;"Ścinawa - obszar wiejski (5)";4379;
0212000;"Powiat lwówecki";46059;
0212013;"Gryfów Śląski (3)";9721;
0212014;"Gryfów Śląski - miasto (4)";6641;
0212015;"Gryfów Śląski - obszar wiejski (5)";3080;
0212023;"Lubomierz (3)";6188;
0212024;"Lubomierz - miasto (4)";1990;
0212025;"Lubomierz - obszar wiejski (5)";4198;
0212033;"Lwówek Śląski (3)";17252;
0212034;"Lwówek Śląski - miasto (4)";8870;
0212035;"Lwówek Śląski - obszar wiejski (5)";8382;
0212043;"Mirsk (3)";8639;
0212044;"Mirsk - miasto (4)";3902;
0212045;"Mirsk - obszar wiejski (5)";4737;
0212053;"Wleń (3)";4259;
0212054;"Wleń - miasto (4)";1778;
0212055;"Wleń - obszar wiejski (5)";2481;
0213000;"Powiat milicki";37093;
0213012;"Cieszków (2)";4696;
0213022;"Krośnice (2)";8169;
0213033;"Milicz (3)";24228;
0213034;"Milicz - miasto (4)";11357;
0213035;"Milicz - obszar wiejski (5)";12871;
0214000;"Powiat oleśnicki";107062;
0214011;"Oleśnica (1)";37242;
0214023;"Bierutów (3)";9988;
0214024;"Bierutów - miasto (4)";4871;
0214025;"Bierutów - obszar wiejski (5)";5117;
0214032;"Dobroszyce (2)";6667;
0214042;"Dziadowa Kłoda (2)";4597;
0214053;"Międzybórz (3)";5095;
0214054;"Międzybórz - miasto (4)";2352;
0214055;"Międzybórz - obszar wiejski (5)";2743;
0214062;"Oleśnica (2)";13535;
0214073;"Syców (3)";16878;
0214074;"Syców - miasto (4)";10420;
0214075;"Syców - obszar wiejski (5)";6458;
0214083;"Twardogóra (3)";13060;
0214084;"Twardogóra - miasto (4)";6716;
0214085;"Twardogóra - obszar wiejski (5)";6344;
0215000;"Powiat oławski";76595;
0215011;"Oława (1)";32927;
0215022;"Domaniów (2)";5182;
0215033;"Jelcz-Laskowice (3)";23286;
0215034;"Jelcz-Laskowice - miasto (4)";15792;
0215035;"Jelcz-Laskowice - obszar wiejski (5)";7494;
0215042;"Oława (2)";15200;
0216000;"Powiat polkowicki";62982;
0216013;"Chocianów (3)";12798;
0216014;"Chocianów - miasto (4)";7911;
0216015;"Chocianów - obszar wiejski (5)";4887;
0216022;"Gaworzyce (2)";4011;
0216032;"Grębocice (2)";5367;
0216043;"Polkowice (3)";27625;
0216044;"Polkowice - miasto (4)";22487;
0216045;"Polkowice - obszar wiejski (5)";5138;
0216053;"Przemków (3)";8376;
0216054;"Przemków - miasto (4)";6149;
0216055;"Przemków - obszar wiejski (5)";2227;
0216062;"Radwanice (2)";4805;
0217000;"Powiat strzeliński";43773;
0217012;"Borów (2)";5306;
0217022;"Kondratowice (2)";4298;
0217032;"Przeworno (2)";4800;
0217043;"Strzelin (3)";22153;
0217044;"Strzelin - miasto (4)";12435;
0217045;"Strzelin - obszar wiejski (5)";9718;
0217053;"Wiązów (3)";7216;
0217054;"Wiązów - miasto (4)";2257;
0217055;"Wiązów - obszar wiejski (5)";4959;
0218000;"Powiat średzki";54269;
0218012;"Kostomłoty (2)";7162;
0218022;"Malczyce (2)";5965;
0218032;"Miękinia (2)";16175;
0218043;"Środa Śląska (3)";19831;
0218044;"Środa Śląska - miasto (4)";9484;
0218045;"Środa Śląska - obszar wiejski (5)";10347;
0218052;"Udanin (2)";5136;
0219000;"Powiat świdnicki";157615;
0219011;"Świdnica (1)";57310;
0219021;"Świebodzice (1)";22830;
0219032;"Dobromierz (2)";5212;
0219043;"Jaworzyna Śląska (3)";10297;
0219044;"Jaworzyna Śląska - miasto (4)";5141;
0219045;"Jaworzyna Śląska - obszar wiejski (5)";5156;
0219052;"Marcinowice (2)";6481;
0219063;"Strzegom (3)";25887;
0219064;"Strzegom - miasto (4)";16153;
0219065;"Strzegom - obszar wiejski (5)";9734;
0219072;"Świdnica (2)";17155;
0219083;"Żarów (3)";12443;
0219084;"Żarów - miasto (4)";6755;
0219085;"Żarów - obszar wiejski (5)";5688;
0220000;"Powiat trzebnicki";84886;
0220013;"Oborniki Śląskie (3)";20209;
0220014;"Oborniki Śląskie - miasto (4)";9109;
0220015;"Oborniki Śląskie - obszar wiejski (5)";11100;
0220023;"Prusice (3)";9362;
0220024;"Prusice - miasto (4)";2232;
0220025;"Prusice - obszar wiejski (5)";7130;
0220033;"Trzebnica (3)";24300;
0220034;"Trzebnica - miasto (4)";13322;
0220035;"Trzebnica - obszar wiejski (5)";10978;
0220042;"Wisznia Mała (2)";10370;
0220052;"Zawonia (2)";5957;
0220063;"Żmigród (3)";14688;
0220064;"Żmigród - miasto (4)";6449;
0220065;"Żmigród - obszar wiejski (5)";8239;
0221000;"Powiat wałbrzyski";56004;
0221011;"Boguszów-Gorce (1)";15444;
0221021;"Jedlina-Zdrój (1)";4851;
0221031;"Szczawno-Zdrój (1)";5608;
0221042;"Czarny Bór (2)";4848;
0221053;"Głuszyca (3)";8659;
0221054;"Głuszyca - miasto (4)";6381;
